id,issue_type,evidence,disposition,confidence
5996,exact_duplicate_label_conflict,"text repeated 2x in train with labels [1, 0]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
6031,exact_duplicate_label_conflict,"text repeated 2x in train with labels [1, 0]; majority_label=1, this_row_label=0 (proposed_label=1)",fix,medium
4068,exact_duplicate_label_conflict,"text repeated 3x in train with labels [1, 0, 1]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
4076,exact_duplicate_label_conflict,"text repeated 3x in train with labels [1, 0, 1]; majority_label=1, this_row_label=0 (proposed_label=1)",fix,medium
4077,exact_duplicate_label_conflict,"text repeated 3x in train with labels [1, 0, 1]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
6537,exact_duplicate_label_conflict,"text repeated 3x in train with labels [1, 1, 0]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
6548,exact_duplicate_label_conflict,"text repeated 3x in train with labels [1, 1, 0]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
6566,exact_duplicate_label_conflict,"text repeated 3x in train with labels [1, 1, 0]; majority_label=1, this_row_label=0 (proposed_label=1)",fix,medium
6012,exact_duplicate_label_conflict,"text repeated 2x in train with labels [1, 0]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
6017,exact_duplicate_label_conflict,"text repeated 2x in train with labels [1, 0]; majority_label=1, this_row_label=0 (proposed_label=1)",fix,medium
4656,exact_duplicate_label_conflict,"text repeated 2x in train with labels [0, 1]; majority_label=1, this_row_label=0 (proposed_label=1)",fix,medium
4659,exact_duplicate_label_conflict,"text repeated 2x in train with labels [0, 1]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
1752,exact_duplicate_label_conflict,"text repeated 2x in train with labels [0, 1]; majority_label=1, this_row_label=0 (proposed_label=1)",fix,medium
1968,exact_duplicate_label_conflict,"text repeated 2x in train with labels [0, 1]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
1723,exact_duplicate_label_conflict,"text repeated 2x in train with labels [1, 0]; majority_label=1, this_row_label=1 (proposed_label=1)",keep_but_flag,medium
